ts	phase	decision	why	evidence	result
2026-08-25T00:06:08Z	phase 4	left reset evidence incomplete	only one real boot identity exists in this run and labels cannot substitute for a reboot	python3 scripts/run-whisper-cache-cycle.py --validate-cycle .audit/whisper-phase4-cache-cycle	INCOMPLETE noPriorCycle
2026-08-25T04:25:29Z	phase 5	stopped every Base model decoding cell	beam 1 regressed Dutch, beam 2 regressed French, beam 5 regressed German, and quality-safe beam 3 saved less than the required 500 ms	target/phase5-screen-v192-v193/summary.md	all six stable v1.9.2 cells STOP
2026-08-25T04:25:29Z	phase 5	did not promote whisper.cpp v1.9.3 pre-release	its six cells repeated the same quality tradeoffs and did not improve the safe beam-3 cell enough to clear 500 ms	target/phase5-screen-v192-v193/sweep.json	investigative only; all cells STOP
2026-08-25T04:25:29Z	phase 5	selected stable Small v1.9.2 beam 3 for confirmation	one-repeat screen cleared performance, p95, receipt, and all five language quality gates	target/phase5-screen-small-v192-b3/sweep.json	screen PASS; sample size pending
2026-08-25T04:25:29Z	phase 5	confirmed the Small v1.9.2 beam-3 research identity	ten pairs per fixture measured 2553.235 ms and 57.777 percent median reduction with lower p95 and no quality regression	.audit/whisper-phase5-small-v192-b3/decision.md	research PASS; shipping INCOMPLETE on product classes and reset
2026-08-25T04:25:29Z	phase 5	hoisted the model digest out of row verification	the first confirmation rehashed a 488 MB model for every row after timing completed, wasting I/O without adding evidence	scripts/sweep-whisper-admission.py	one digest per cell; measured artifacts unchanged
2026-08-25T04:38:37Z	phase 6	accepted the child-only runtime launch contract	Echo removes inherited loader, layer, and Mesa cache variables, then applies only the candidate library, driver, and cache paths	crates/echo/src/stt/whisper.rs	unit and CLI integration tests green
2026-08-25T04:38:37Z	phase 6	kept managed CPU as the normal product path	real transcription used managed CPU with its adjacent library directory and composite runtime identity	target/phase6-managed-cpu.json	managed CPU success; precedence unchanged
2026-08-25T04:38:37Z	phase 6	proved an adjacent system Vulkan runtime without ambient LD_LIBRARY_PATH	Echo supplied the runtime directory, observed Intel Vulkan, and reported a 64-hex composite identity	target/phase6-system-vulkan.json	system Vulkan success under an explicit plan; no production preference
2026-08-25T04:38:37Z	phase 6	bound the runtime identity to CLI and adjacent library contents	changing either the fake CLI or an adjacent shared library changes the composite SHA-256	crates/echo/src/stt/runtime.rs	unit test green
2026-08-25T04:50:08Z	trail review	downgraded the Phase 5 Small result to historical research	its Echo commit predates the Phase 6 launcher and is not an ancestor identity for the current launch contract	.audit/whisper-phase5-small-v192-b3/decision.md	STOP until the full corpus is rerun through the current Echo commit and launcher
2026-08-25T04:50:08Z	trail review	broadened the child environment boundary	launcher removes inherited loader, layer, cache, and device-selector namespaces before applying explicit candidate values	crates/echo/src/stt/whisper.rs	unit and CLI tests poison LD, VK, Mesa device, DRI, and CUDA selectors
2026-08-25T04:50:08Z	trail review	narrowed the system Vulkan smoke claim	preserved JSON proves the observed backend, adjacent library path, and identity but not the complete invoking parent environment	target/phase6-system-vulkan.json	runtime smoke only; not admission evidence
2026-08-25T04:50:08Z	trail review	marked non-durable and source-only citations	arena transcripts, temporary receipt output, and several command logs were not committed with their original rows	.audit/whisper-phase3.tsv	claims remain planning or local verification notes, not independently replayable evidence
2026-08-25T04:50:08Z	phase 6 rerun	repeated both product launch paths after environment hardening	managed CPU reported 307 ms and system Vulkan reported 1377 ms with distinct adjacent-library identities	.audit/whisper-phase6-current/README.md	runtime smoke only; empty fixture transcript and no current full-corpus qualification
2026-08-25T05:15:54Z	interrogate	rejected the old Phase 4 and Phase 5 bindings as admission evidence	four independent reviewers found that the sweep recorded Echo's parent environment while the Whisper child removed the explicit ICD and cache values	scripts/sweep-whisper-admission.py	historical research only; current qualification must be recollected
2026-08-25T05:15:54Z	interrogate	routed qualification settings through the product launcher	hidden benchmark-only CLI inputs now populate the same child launch contract and effective telemetry that normal product execution uses	src-tauri/tests/cli_whisper_args.rs	poisoned parent environment test passes with explicit driver and cache paths
2026-08-25T05:15:54Z	interrogate	bound replay to the effective child identity	replay now validates warmups, composite runtime identity, adjacent library path, driver manifest, and Mesa cache path from product telemetry	scripts/analyze-stt-host-matrix.py	benchmark, corpus replay, probe, cache-cycle, and sweep self-tests pass
2026-08-25T05:15:54Z	interrogate	removed ambient accelerator state from direct probes	probe and cache-cycle launchers scrub loader, Vulkan, Mesa, DRI, and vendor selector namespaces before applying explicit values	scripts/probe-whisper-acceleration.py	self-tests poison LD, Vulkan, Mesa device, DRI, and CUDA variables
2026-08-25T05:15:54Z	interrogate	recomputed runtime identity after managed locking	the final leased CLI and adjacent libraries now replace the discovery-time identity before execution	crates/echo/src/transcribe.rs	focused runtime and CLI tests pass
2026-08-25T05:32:02Z	interrogate	bound the VAD artifact to every Whisper observation	shipping JSON now exposes the resolved VAD path so warmup and measurement artifacts preserve and replay its digest	src-tauri/tests/cli_whisper_args.rs	CLI integration and corpus tamper tests pass
2026-08-25T05:34:29Z	verification	completed one contiguous final Linux verification pass	all four Whisper verification tools, cache replay, 161 Echo library tests, workspace integrations, clippy, 94 frontend tests, two responsive browser tests, and release build passed	docs/qa/runs/QA-SEQUENTIAL-run-2026-08-25.md	green implementation; acceleration shipment remains NO on three qualification gates
2026-08-25T05:44:04Z	PR review	bound cache cycles to adjacent runtime libraries	review correctly found that a same-path shared-library replacement could leave the old cycle's CLI-only identity unchanged	scripts/run-whisper-cache-cycle.py	composite runtime identity and adjacent-library artifacts now gate sweep cache reuse
2026-08-25T06:40:40Z	admission continuation	resumed at the three failed gates	selection and release remain conditional on current corpus, product-class coverage, and distinct-boot evidence	docs/plans/14-quality-safe-whisper-acceleration/admission-run.md	high-rigor run; throughput checkpoint before long qualification
2026-08-25T06:47:22Z	cycle A	captured the first hardened current-identity cache cycle	pinned v1.9.2 receipt runtime, adjacent libraries, Small, VAD, decoding, Intel ICD, device receipt, and cache snapshots are bound on boot f4fd3d6f	target/whisper-admission/cycle-a-f4fd3d6f/cache-cycle.json	VERIFIED cycle; reset INCOMPLETE noPriorCycle
2026-08-25T06:47:22Z	cycle A	kept first-use acceleration out of the user path	fresh Vulkan took 5166.102 ms versus CPU 4747.610 ms while populated Vulkan took 1728.036 ms versus CPU 4585.867 ms	target/whisper-admission/cycle-a-f4fd3d6f/probes/fresh/summary.json	one pair only; no performance admission claim
2026-08-25T07:05:09Z	admission contract	rejected mutable coverage labels and dirty-build admission	class, coverage, source, license, provenance, derivation, commit, and Echo binary identity were not all bound to the measured bundle	scripts/verify-stt-corpus.sh	NOT VERIFIED under the old contract
2026-08-25T07:05:09Z	admission contract	bound corpus and Echo identity at the replay boundary	immutable snapshots now carry exact fixture bindings and supported provenance while admission requires clean HEAD and the expected binary digest	scripts/analyze-stt-host-matrix.py	VERIFIED tamper and identity self-tests
2026-08-25T07:05:09Z	product corpus	kept four natural classes as explicit contributor input	public data cannot honestly substitute for intentional dictation, technical identifiers, naturally fast speech, or naturally quiet speech	scripts/capture-stt-product-audio.py	manual consented capture required; no customer audio
2026-08-25T08:12:44Z	product corpus	accepted four consented natural recordings	all captures are canonical 16 kHz mono PCM16, non-clipping, digest-bound, and match the exact prompt/class contract	target/whisper-admission/product-captures/capture.json	VERIFIED local contributor evidence under CC0-1.0
2026-08-25T08:12:44Z	product corpus	completed the 28-fixture admission corpus	twenty multilingual FLEURS clips plus eight exact product-class bindings carry supported provenance and immutable derivations	target/whisper-admission/product-corpus-run2/fixtures.json	VERIFIED coverageComplete true
2026-08-25T08:12:44Z	product corpus	proved deterministic reconstruction	an independent rebuild produced the same 30-file tree and fixture manifest SHA-256 340c3f047f3058db47c67be8a19f580e6be622cf5e7cb4c51d452160d13e7812	scripts/build-stt-product-corpus.py	VERIFIED run2 equals run3
2026-08-25T08:19:02Z	current screen	passed exact-current one-pair CPU/Vulkan parity	28 fixtures measured 2257.523 ms and 54.853 percent paired median reduction with lower accelerated p95 and identical product-class transcripts	target/whisper-admission/screen-current-small-v192-b3/sweep.json	VERIFIED screenPass true; sample size and reset pending
2026-08-25T08:19:02Z	current screen	kept model-quality issues outside the acceleration claim	technical and quiet speech have high baseline WER and silence hallucinated you on both CPU and Vulkan	target/whisper-admission/screen-current-small-v192-b3/cells/small-v192-b3/bundle/runs.jsonl	no GPU regression; existing CPU behavior remains visible
2026-08-25T08:31:39Z	cycle B	completed the required distinct-boot cache reset	boot e8f95880 differs from cycle A while the exact runtime, model, VAD, decoding, driver, device receipt, and cache identity remain unchanged	target/whisper-admission/cycle-b-e8f95880/cache-cycle.json	VERIFIED resetEvidence COMPLETE
2026-08-25T08:31:39Z	cycle B	confirmed first-use stays outside the user path	fresh Vulkan took 4329.597 ms versus CPU 3357.469 ms while populated Vulkan took 1582.256 ms versus CPU 3434.557 ms	target/whisper-admission/cycle-b-e8f95880/cache-cycle.json	one fresh pair remains a cache gate, not a speed claim
2026-08-25T09:02:35Z	full qualification	admitted the exact Small v1.9.2 Vulkan research identity	280 paired runs per backend measured 2485.066 ms and 59.090 percent paired median reduction with lower p95, all language gates, and no new hallucinations	target/whisper-admission/confirm-current-small-v192-b3-e8f/sweep.json	VERIFIED PROCEED; all research and binding gates true
2026-08-25T09:02:35Z	full qualification	kept the claim exact and production disabled	the pass binds Echo 2c41d4b, binary dce259aa, runtime d1f1e46f, Small, VAD, Intel 0x46a6, the selected ICD and library, receipt UUIDs, and t4-b3-bo5 fallback decoding	target/whisper-admission/confirm-current-small-v192-b3-e8f/sweep.json	productionSelection not-attempted until selection, recovery, and packaging pass
2026-08-25T09:02:35Z	packaging boundary	required promotion of measured release artifacts	ordinary tag jobs rebuild Echo and would produce an unqualified executable while the admission contract binds the exact binary	docs/plans/14-quality-safe-whisper-acceleration/phase-8-packaging-matrix.md	STOP any release path that substitutes a rebuilt executable
2026-08-25T09:02:35Z	packaging boundary	proved the qualified runtime can be archived deterministically	two normalized tar builds produced the same 5f639b83d9ee9baaa35482ff29e5a0f93508d9487c5a41791af7a0970504b41d digest	target/whisper-admission/package/echo-whisper-vulkan-v1.9.2-x86_64.tar.gz	VERIFIED 14 MB non-driver payload
2026-08-25T09:10:00Z	phase 7 receipt	required strict production parsing of the inference-process Vulkan receipt	backend log names alone cannot bind UUIDs, driver version, pipeline cache, or the selected device index	crates/echo/src/stt/whisper_probe.rs	failing-before compile check; focused parser and compatibility tests green
2026-08-25T09:15:00Z	phase 7 timeout	bounded every Whisper child process and killed its process group on expiry	the old wait_with_output call could block forever and prevent the managed CPU recovery path from running	crates/echo/src/stt/whisper.rs	failing-before signature test; timeout and 37 adjacent Whisper tests green
2026-08-25T09:25:00Z	phase 7 admission	implemented exact fail-closed admission state	all 18 gates, complete identity equality, strict schema, current timestamps, a 30-day maximum lifetime, and exact quarantine must agree	crates/echo/src/stt/whisper_admission.rs	failing-before invalid-device test; four admission tests and clippy green
2026-08-25T09:30:00Z	phase 7 plan	made the accelerated plan and managed CPU fallback one closed decision	construction rejects the wrong backend, non-managed fallback, model, VAD, tuning, protocol, timeout, force-CPU, identity, or receipt drift	crates/echo/src/stt/whisper_plan.rs	failing-before missing-type check; four plan tests and clippy green
2026-08-25T09:35:00Z	phase 7 quarantine	serialized exact bounded quarantine updates under an inter-process file lock	atomic rename protects readers but cannot prevent two Echo processes from overwriting distinct failures without locked read-modify-write	crates/echo/src/stt/whisper_quarantine.rs	failing-before missing-store check; exact, expiry, corruption, and concurrent-update tests green
2026-08-25T09:45:00Z	phase 7 recovery	retried managed CPU exactly once after any accelerated contract failure	crash, malformed JSON, missing or wrong receipt, silent CPU fallback, and timeout each quarantine the exact key before one same-model CPU logical retry	crates/echo/src/stt/whisper_recovery.rs	failing-before missing-engine check; success, six failure, pre-quarantine, corruption, compatibility, and clippy tests green
2026-08-25T10:00:00Z	phase 7 selection	wired package-owned exact admission below prepare_with_config	ordinary builds and mismatched executable, commit, runtime, model, VAD, host DRM device, ICD artifacts, cache seed, gate, timestamp, or ownership evidence stay on managed CPU	crates/echo/src/stt/whisper_acceleration.rs	three package tests, 178 Echo tests, 52 core tests, and clippy green
2026-08-25T10:00:00Z	phase 7 caching	cached immutable file digests by device, inode, size, mtime, and ctime	model and driver hashing must not erase the measured speedup on every dictation while same-size replacements must still invalidate selection	crates/echo/src/stt/whisper_acceleration.rs	changed-runtime rejection remains green; seeded Mesa cache is exact-identity scoped
2026-08-25T10:15:00Z	claim boundary	kept auto language and recognition hints on managed CPU	the confirmed corpus used pinned language codes and an empty prompt, so broadening that policy would exceed the measured evidence	crates/echo/src/stt/whisper_recovery.rs	policy mismatch skips acceleration without quarantine or a GPU process
2026-08-25T10:15:00Z	phase 8 promotion	made admission generation replay the evidence before copying payloads	the tool replays raw rows, validates the cache cycle, compares Echo, runtime, model, VAD, ICD, DRM, and receipt identities, then emits the package record and Tauri resource config	scripts/promote-whisper-admission.py	Python self-test, Ruff, and cross-language Rust identity-key test green
2026-08-25T10:30:00Z	packaging smoke	confirmed Tauri resources land in both Linux package formats	Debian and RPM each contain the full runtime, populated cache seed, and admission path under usr/lib/io.github.ddv1982.echo/whisper-acceleration	target/release/bundle	VERIFIED package layout; Tauri CLI upgraded from 2.6.2 to pinned 2.11.4
2026-08-25T10:30:00Z	packaging smoke	bound Tauri's bundle-type ELF patch	Debian changes only UNK to DEB and RPM changes only UNK to RPM at the one embedded marker; every other byte matches the canonical executable	scripts/patch-tauri-bundle-type.py	VERIFIED against extracted Debian and RPM executables
2026-08-25T10:30:00Z	release gate	required distinct Debian and RPM qualifications and admissions	the package marker changes each executable SHA-256, so one canonical pass cannot authorize both package files	scripts/stage-qualified-whisper-release.py	staging extracts packages and compares exact variant, admission, runtime, and cache identities
2026-08-25T10:45:00Z	deslop	removed duplicate release identity implementations and redundant lock and ownership work	one shared Python module now owns file, tree, runtime, and Tauri marker identities; production verifies package ownership once	scripts/whisper_release_common.py	Ruff and all three release-tool self-tests green
2026-08-25T12:20:00Z	interrogate	rejected the old full sweep as final release evidence	four independent reviewers found concrete boundary failures; row inspection also proved the sweep ran with VAD inactive despite the cache cycle binding a VAD	target/whisper-admission/confirm-current-small-v192-b3-e8f/cells/small-v192-b3/bundle/runs.jsonl	current research result stays historical; final Debian and RPM sweeps must use explicit VAD
2026-08-25T12:20:00Z	interrogate	closed VAD, CPU, quarantine, replay, and package gaps	qualified plans disable no-VAD retry, non-qualified managed plans force CPU, process quarantine latches before persistence, replay compares gates and every row VAD, and package symlinks stay contained	crates/echo/src/stt/whisper_recovery.rs	accepted findings from reviewers A, B, C, and D; focused tests and self-tests green
2026-08-25T12:20:00Z	interrogate	added live hardware identity before user audio	a package-owned model-free probe initializes the exact Vulkan backend and emits the receipt; selection compares it before constructing a qualified plan	patches/whisper.cpp/runtime-probe.patch	probe 3948213f emitted the admitted Intel receipt against the original d1f1e46f runtime identity without changing the qualified CLI or libraries
2026-08-25T10:07:16Z	current-head screen	screened the implemented branch against the bound product corpus	before opening a PR, the new selection, recovery, and packaging path needed fresh runtime evidence on the current head	target/whisper-admission/screen-head-741ec69/sweep.json	screenPass true on commit 741ec69 and binary dd20fde1; 28 paired runs kept all quality gates green with 2348.816 ms and 57.15 percent median reduction
2026-08-25T10:08:12Z	pre-PR verify	closed the local verification gate for the implementation branch	selection, quarantine, recovery, and promotion code must be green before PR and before any main-only qualification rerun	scripts/verify-whisper-acceleration.sh	echo-core 52 passed; echo 179 passed with one flaky xdotool inject rerun clean; release-tool self-tests, Ruff, and Clippy green
2026-08-25T12:51:00Z	post-review verify	passed the complete pre-PR product gate after all interrogate fixes	frontend build, lint, 94 tests, responsive light and dark, all-target clippy, 180 Echo tests, 52 core tests, every active integration, runtime archive, CLI, readiness, toggle, recording, and release build ran on 0.12.0	docs/qa/runs/QA-SEQUENTIAL-run-2026-08-25-2.md	VERIFIED pre-PR; two known 500 ms tests passed three isolated retries before the clean workspace rerun
2026-08-25T12:51:00Z	QA sign-off	kept Phase 14 at NO until post-merge evidence exists	ordinary builds remain CPU-only, so the implementation can be reviewed and merged without exposing an unqualified accelerator	docs/qa/runs/COORDINATOR-MERGE-2026-08-25-2.md	NO bugs open; exact merged Debian and RPM sweeps plus tag publication remain
2026-08-25T12:56:00Z	PR review	closed both automated promotion findings	replay now compares decision and gate output, runtime, model, every row VAD, ICD, and the exact cache-cycle path against the selected sweep cell	scripts/promote-whisper-admission.py	valid review comments fixed; Ruff and promotion self-test green
2026-08-25T13:15:00Z	PR review	closed the three latest-head review findings	the selected sweep now executes and binds the exact model-free probe, process quarantine expires with disk state, and model, VAD, and probe paths resolve before cell setup	scripts/sweep-whisper-admission.py	actual preflight reproduced the admitted receipt; sweep, promotion, recovery, Ruff, and Clippy checks green
2026-08-25T12:45:00Z	package qualification	stopped release staging on Tauri materialized library aliases	Debian preserved every library byte but copied each symlink target to a separate regular file, which the old identity counted more than once	scripts/stage-qualified-whisper-release.py	STOP after both package ELF sweeps passed; follow-up PR required before release
2026-08-25T12:45:00Z	package qualification	made runtime identity invariant to byte-identical aliases	identity groups adjacent libraries by size and SHA-256, retains the most specific filename, and still rejects any changed or extra distinct library	crates/echo/src/stt/runtime.rs	original and extracted Debian payload both resolve to d1f1e46f; cache cycle remains COMPLETE
2026-08-25T12:54:29Z	PR review	preserved the exact runtime alias inventory alongside normalized content identity	Tauri may materialize symlinks as copies, but deleting a required SONAME alias must still fail package verification	scripts/stage-qualified-whisper-release.py	valid P1 fixed; staged packages compare all source alias names and the release manifest binds them for tag-time re-verification
2026-08-25T13:00:48Z	PR review	bound every runtime alias to its resolved content digest	a complete filename inventory still cannot detect a SONAME alias redirected to another existing ELF	scripts/whisper_release_common.py	valid P1 fixed; source, package, and final manifest compare the sorted filename-to-SHA-256 mapping while normalized runtime identity remains stable
2026-08-25T13:17:24Z	PR review	made runtime alias bindings part of installed admission	package verification alone cannot detect a loader alias redirected after installation while all unique library contents remain present	crates/echo/src/stt/whisper_acceleration.rs	valid P2 fixed; promotion records every filename-to-digest mapping and exact selection recomputes it before admission or live Vulkan preflight
2026-08-25T13:29:52Z	PR review	bound runtime aliases directly in qualification evidence	promotion must not establish a fresh alias baseline after the measured sweep, because a mutation between measurement and promotion could otherwise be accepted	scripts/sweep-whisper-admission.py	valid P1 fixed; each measured cell records the alias-to-digest map and promotion rejects any mismatch before admission generation
