ts	phase	decision	why	evidence	result
2026-08-27T23:12:58Z	cache evidence split	separated the measured populated cache from the later cross-boot reset proof	the old promotion path forced a full 560-observation corpus rerun after reboot even when the runtime, model, tuning, host, and receipt were identical	promote-whisper-admission.py; compose-whisper-admission-set.py	PASS: exact identity and receipt required; both cycle digests bound; reusable-only composition verified
2026-08-28T01:07:51Z	physical corpus	qualified Small and Large Turbo against the portable PR 16.1 runtime	a runtime byte change requires one honest physical sweep before app-only releases may reuse its inference evidence	target/pr16-2/sweep-small; target/pr16-2/sweep-large	PASS except cross-boot reset: Small 43.471 percent and Large 68.063 percent median speedup; 280 pairs per candidate; all language quality gates; zero new hallucinations
2026-08-28T01:07:51Z	stop gate	stopped promotion until another boot completes the exact cache identity cycle	cross-boot reset evidence cannot be inferred or generated within boot c757b285; the decoupled tool preserves both completed corpus sweeps	target/pr16-2/cache-small; target/pr16-2/cache-large	WAIT: reboot once, rerun two short cycles with their prior-cycle inputs, then promote without corpus reruns
2026-08-29T07:25:55Z	cross-boot reset	completed exact Small and Large cache identities on boot 50e94b70	the new cycles reference boot c757b285 evidence and preserve runtime, model, VAD, tuning, host, ICD, and receipt identity	target/pr16-2/cache-small-reset; target/pr16-2/cache-large-reset	PASS: both resetState COMPLETE; populated Small 1596 ms vs CPU 3766 ms; Large 5410 ms vs CPU 17157 ms
2026-08-29T07:25:55Z	promotion seam	allowed v3 promotion to replace only a failed reset gate with a complete identity-matched cycle	the first decoupling still rejected the preserved sweep before comparing the replacement proof	scripts/promote-whisper-admission.py	PASS: ordinary promotion still rejects INCOMPLETE; rebind requires every other gate plus exact cycle identity and receipt
2026-08-29T07:27:24Z	historical replay	ignored only the app-commit identity gate when replaying v3 reusable evidence	Small was measured at an ancestor commit whose exact ELF and inference behavior remain bound; app identity belongs in the release binding rather than reusable evidence	scripts/promote-whisper-admission.py	PASS: identityMatch false may rebind only for v3; any second gate change rejects; full acceleration suite green
2026-08-29T07:28:37Z	cache placement	accepted recorded Mesa cache roots only when contained under repository target	the live qualification used dedicated target working-cache directories rather than a cache nested in the cycle evidence directory	scripts/promote-whisper-admission.py	PASS: external paths remain rejected; snapshot inventory, hashes, symlink checks, and repeated verification remain active
2026-08-29T07:29:56Z	coverage projection	bound the claim boundary and sorted language set without duplicating floating-point measurements	canonical identity JSON intentionally rejects floats; latency and WER values already belong to the hashed observation bundle	scripts/promote-whisper-admission.py	PASS: live phase2 language maps project to de, en, es, fr, nl; unsupported coverage shapes reject
2026-08-29T07:34:20Z	release identity	stopped a byte-valid staged release whose ELF embedded an older commit	Cargo did not know ECHO_BUILD_COMMIT invalidated the echo dependency, so the first cold binding named 88e1e8d while the binary still contained 0a2e76d	crates/echo/build.rs; stage-qualified-whisper-release.py	FIXED: Cargo tracks the environment input and v3 staging/extraction rejects binaries missing the bound commit
2026-08-29T07:40:44Z	live release lanes	staged and extracted exact Debian and RPM packages from unchanged reusable inference evidence	app-only packaging must create new release bindings without GPU probes, corpus sweeps, cache cycles, or reboots	target/pr16-2/staged-fixed-cold; staged-warm-1; staged-warm-2	PASS: physicalRequalificationRequired false; cold 11.74 s; warm 11.57 and 11.61 s; exact ELF commit verified
2026-08-29T07:40:44Z	staging performance	compared source-independent v2 and v3 package verification over three runs	v3 must not make ordinary release verification slower while removing physical qualification from app releases	.audit/pr16-2-evidence/summary.json	PASS: v2 median 2.49 s; v3 median 1.15 s; 53.8 percent reduction
2026-08-29T08:21:09Z	interrogate	accepted six correctness and audit findings from four independent models	three reviewers agreed stale behavior could be rebound; two agreed release bindings were not closed; other concrete reproductions found arbitrary claim scope, raw commit substrings, a missing transcribe watch, proof-package selector mismatch, and non-durable evidence	pstack interrogate A-D; /tmp/arena-pr16-2-reviewfix	ACT ON: all; proof-only package remains outside PR 16.2 production selector by design
2026-08-29T08:21:09Z	architecture	selected a shared contract-authority boundary and closed package graph	Candidate B bound proof-only readiness into offline verification; Candidate A contributed immutable verified contracts, exact marker grammar, and fixed claim scope	pr16-2-design.md adversarial review synthesis	PASS: cross-judge score B 23/25 vs A 18/25; v3 selector remains PR 16.3
2026-08-29T08:21:09Z	boundary fixes	made promotion, staging, release binding, and ELF identity fail closed	reusable evidence is valid only for the complete measured contract and current packaged behavior; release bindings must cover the complete graph	whisper_v3_contract.py; whisper_identity_v3.py; build_identity.rs; stage-qualified-whisper-release.py	PASS: mutation suites, full acceleration verifier, Rust identity fixtures, real structured release marker
2026-08-29T08:28:21Z	proof-only package	bound selector readiness into each release binding and the outer manifest	PR 16.2 proves reusable staging but the production selector remains v2 until PR 16.3; proof artifacts must not be published as accelerated releases	target/pr16-2/staged-final/qualified-release.json	PASS: productionReady false; --require-production-ready rejects; exact head 8e39dee staged in 11.87 s
2026-08-29T08:28:21Z	durable evidence	retained a deterministic compact archive and clean-checkout verifier	hashes alone could not reproduce physical claims; the archive preserves 1120 rows, every indexed artifact, analyzer decisions, and four cache cycles	.audit/pr16-2-evidence/evidence.tar.gz; scripts/verify-pr16-2-evidence.py	PASS: 2.6 MB archive; every artifact hash checked; medians recomputed; cross-boot identities verified; CI acceleration suite consumes it
