ts	phase	decision	why	evidence	result
2026-08-26T21:25:00Z	live	proved local CPU dispatch and fail-closed package drift	local CLI evidence covers CPU transcription, selected optimized module, missing module, changed byte, private ELF resolution, repeated receipt, and physical Intel Vulkan	`target/pr16-1/live`; `.audit/pr16-1/final-require-vulkan-normalized.log`	PASS: local lanes 1, 2, 4, 5, 6, 7
2026-08-26T21:25:00Z	live	left unavailable physical lanes inconclusive	this host cannot emulate an x86_64-v2 mask or install fresh Debian and RPM VMs without inventing evidence	PR 16.1 live lanes 3, 8, 9, 10	INCONCLUSIVE: baseline mask, Debian VM, RPM VM, generic-only CPU
2026-08-26T21:37:00Z	perf	compared managed CPU baseline and treatment with transcript parity	ten interleaved pairs per model use the same runtime revision, model, audio, tuning, and CPU-only flag	`target/pr16-1/perf/interleaved.tsv`; `target/pr16-1/perf/summary.json`	PASS: Small median +3.04%, p95 +1.17%; Large median +1.98%, p95 +1.00%
2026-08-26T21:40:00Z	perf	compared old static Vulkan and new dynamic Vulkan with exact receipts	ten interleaved pairs per model check the same device receipt plus transcript and model parity	`target/pr16-1/perf/vulkan-interleaved-valid.tsv`; `target/pr16-1/perf/vulkan-summary.json`	PASS: Small median 0.00%, p95 -2.17%; Large median +0.38%, p95 +1.17%
2026-08-26T21:42:00Z	artifact	normalized modes and rebuilt the final package twice	caller umask must not change the artifact ID or package metadata	`.audit/pr16-1/final-build-a.log`; `.audit/pr16-1/final-build-b.log`; `target/pr16-1/runtime-final-a/build-receipt.json`	PASS: artifact 317aa0de89d05f1abd6a4fd7bd8d993cdaa2b4946f131212ba04de321b5e1e32, byte-identical builds
2026-08-26T21:48:00Z	full gates	ran the repository workflow with the local native prefix	targeted checks are not a substitute for the complete frontend, Rust, script, release, icon, desktop, and changelog gates	`.audit/pr16-1/full-*.log`	PASS: frontend 94, Rust workspace, clippy, release build, all verification scripts
2026-08-26T21:50:00Z	audit	restored the host-owned Vulkan loader boundary	the dynamic module layout must not let a package receipt bless a bundled Vulkan loader	`scripts/verify-whisper-vulkan-runtime.py`; `test_rejects_bundled_or_external_vulkan_loader`	PASS: staged loaders reject and libggml-vulkan resolves libvulkan.so.1 under /usr/lib
2026-08-26T21:52:00Z	no-comments	accepted the clean Comment Sicko report	the implementation adds no workaround comments or lint suppressions	delegated no-comments report	PASS: 0 deletions, 0 restored comments, 0 open constraints
2026-08-26T21:55:00Z	commit	committed the plan and portable runtime implementation separately	the ordered commits let reviewers inspect the approved program before the build and verifier changes	`1148a87`; `edc3343`	PASS: two landable commits
2026-08-26T22:05:24Z	delivery	replaced raw build logs with one machine-readable phase receipt	twenty thousand lines of generated output obscured the review and failed whitespace checks	.audit/pr16-1-summary.json	PASS: final diff keeps the decision trail and compact evidence
2026-08-26T22:24:31Z	root verification	proved every previously inconclusive live lane	QEMU CPU masks and clean deb and rpm package environments replaced assumptions with runtime evidence	.audit/pr16-1-summary.json	PASS: lanes 3, 8, 9, and 10
2026-08-26T22:24:31Z	root verification	recorded the Linux ABI boundary	Debian Bookworm failed on GLIBC_2.38, so the receipt now computes minimum symbol versions instead of claiming universal Linux portability	target/pr16-1/runtime-abi-a/build-receipt.json, .audit/pr16-1-summary.json	VERIFIED GLIBC 2.38, GLIBCXX 3.4.32, CXXABI 1.3.9
2026-08-26T22:24:31Z	interrogate	fixed consensus CPU-only and loader findings	two independent reviewers found unconditional Vulkan verification, false gpuDisabled output, narrow RPM roots, and symlink receipt risk	scripts/verify-whisper-vulkan-runtime.py	valid findings fixed; provenance is explicitly buildObservation pending PR 16.2 release binding
2026-08-26T22:26:54Z	interrogate	made CPU verification independent of Vulkan availability	two reviewers reproduced a false CPU-only rejection because the verifier required the Vulkan module and loader unconditionally	scripts/verify-whisper-vulkan-runtime.py, target/pr16-1/qemu/ubuntu-no-vulkan-verifier.log	PASS: clean Ubuntu without libvulkan verified CPU
2026-08-26T22:26:54Z	interrogate	expanded system loader and receipt containment checks	RPM lib64 and Nix-style roots are valid system locations, while build-receipt symlinks can escape the package	scripts/verify-whisper-vulkan-runtime.py, target/pr16-1/qemu/fedora-verifier.log	PASS: Fedora verifier and symlink mutation test
2026-08-26T22:26:54Z	interrogate	narrowed receipt claims to their real trust scope	the build receipt detects drift and records same-toolchain reproduction; PR 16.2 must bind it into trusted release metadata	target/pr16-1/runtime-abi-a/build-receipt.json	.trustBoundary=buildObservation and reproducibility.scope=sameToolchain
2026-08-26T22:26:54Z	abi	recorded minimum dynamic ABI versions	a clean Debian Bookworm package install exposed GLIBC_2.38 as a real platform limit	.audit/pr16-1-summary.json, target/pr16-1/runtime-abi-a/build-receipt.json	VERIFIED GLIBC 2.38, GLIBCXX 3.4.32, CXXABI 1.3.9
2026-08-27T18:10:48Z	final verification	classified two first-run timing failures as load-induced	both tests failed while builds and reviewers saturated the host, passed alone after load ended, and the full workspace then passed	cargo test exact tests; xvfb-run cargo test --workspace	PASS: 194 Echo tests with one ignored plus all workspace tests
2026-08-27T18:10:48Z	final verification	reran every changed script gate at the exact head	review fixes changed the verifier and builder contract after the earlier full pass	verify-stt-benchmark, verify-stt-corpus, verify-whisper-acceleration, verify-whisper-runtime-archive, portable runtime verify	PASS
